Sector,Rent. anualizada,Mejor año,Peor año,ETF del sector
Tecnología,"0,1688","0,617","-43,10%",XLK
Consumo cíclico,"0,1341","0,431","-33,50%",XLY
Salud,"0,1218","0,415","-22,80%",XLV
Consumo defensivo,"0,1067","0,276","-15,40%",XLP
S&P500,"0,1066","0,324",-37%,SPY
Industria,"0,0943","0,407","-39,90%",XLI
Materiales,"0,09","0,486","-45,70%",XLB
Servicios básicos,"0,0855","0,29",-29%,XLU
Servicios de comunicación,"0,0806","0,327","-30,50%",XLC
Inmobiliaria,"0,077","0,462","-42,30%",XLRE
Finanzas,"0,0399","0,356","-55,30%",XLF
Energía,"0,0235","0,6442","-34,90%",XLE
